wave qabs
0.2 0.8866845866666667
2.0 0.8866845866666667
2.004613 0.8899610720000001
2.009236 0.8932739573333335
2.01387 0.8966227573333334
2.018515 0.9000089279999999
2.023171 0.903431984
2.027837 0.9068924106666668
2.032514 0.9103911786666667
2.037202 0.9139282880000001
2.0419 0.9175037386666669
2.04661 0.9211189866666666
2.05133 0.9247730613333334
2.056061 0.9284674186666667
2.060803 0.9322020586666666
2.065556 0.9359774666666667
2.07032 0.939794128
2.075095 0.9436520426666668
2.079881 0.9475526666666667
2.084678 0.9514955146666667
2.089486 0.955481072
2.094305 0.9595103093333334
2.099136 0.9635837120000003
2.103977 0.9677012800000002
2.10883 0.9718644693333334
2.113693 0.9760723093333334
2.118568 0.9803267413333333
2.123455 0.9846272800000001
2.128352 0.9889753813333337
2.133261 0.9933710453333335
2.138181 0.9978147573333334
2.143113 1.002307488
2.148056 1.0068492373333335
2.15301 1.0153872213333335
2.157975 1.0249148000000001
2.162953 1.032339914666667
2.167941 1.0375053173333335
2.172941 1.0402697760000001
2.177953 1.040512442666667
2.182976 1.038136736
2.188011 1.0330751946666668
2.193057 1.0252904480000002
2.198115 1.0147790986666667
2.203185 1.0015741493333334
2.208267 0.9857469440000001
2.21336 0.9674037706666668
2.218465 0.9466882880000002
2.223581 0.9237771573333334
2.22871 0.8988766453333336
2.23385 0.872218256
2.239002 0.8440529066666669
2.244166 0.8146436480000001
2.249342 0.784261296
2.25453 0.7531747253333334
2.25973 0.7216479573333334
2.264942 0.6899319093333334
2.270165 0.6580935573333333
2.275401 0.622406512
2.280649 0.5889136586666667
2.285909 0.5575014293333334
2.291182 0.5280543146666667
2.296466 0.5004563200000001
2.301763 0.4745941685333334
2.307071 0.4503571557333333
2.312392 0.42763957599999997
2.317726 0.4063405285333334
2.323071 0.3863644512
2.328429 0.3676213632
2.333799 0.35002676800000004
2.339182 0.33350170186666667
2.344577 0.3179723456
2.349985 0.30337017013333334
2.355405 0.29170416426666673
2.360837 0.2804900522666667
2.366282 0.26970817813333336
2.37174 0.25934524373333334
2.37721 0.24938780533333335
2.382693 0.23982232213333332
2.388188 0.23063539893333337
2.393696 0.22181359200000003
2.399217 0.21334374880000007
2.40475 0.2052128138666667
2.410297 0.19740807146666667
2.415856 0.18991704853333338
2.421428 0.18272751466666667
2.427013 0.17582762773333338
2.43261 0.1692058853333334
2.438221 0.1628511248
2.443844 0.15675257173333332
2.449481 0.1508996944
2.45513 0.14528244640000004
2.460793 0.13989112106666668
2.466468 0.1347163514666667
2.472157 0.12974906186666668
2.477859 0.12498066186666668
2.483574 0.12040275520000003
2.489302 0.11600738240000001
2.495043 0.11178687520000001
2.500797 0.10771157973333334
2.506565 0.10366826773333333
2.512346 0.0997958416
2.518141 0.09608643893333335
2.523949 0.09253244000000001
2.52977 0.08912666186666666
2.535605 0.08586226133333334
2.541453 0.08273268640000002
2.547314 0.0797318704
2.553189 0.07685379520000002
2.559078 0.07409297653333334
2.56498 0.07144407573333333
2.570896 0.06890204533333333
2.576826 0.06646208053333336
2.582769 0.06411957066666668
2.588726 0.0618702448
2.594696 0.05970988053333334
2.600681 0.05763464373333334
2.606679 0.05564074880000001
2.612691 0.05372460426666667
2.618717 0.051882812800000004
2.624757 0.05011221973333334
2.63081 0.048409728640000003
2.636878 0.046772374133333336
2.64296 0.045197389813333336
2.649055 0.043682111200000005
2.655165 0.04222401456
2.661289 0.04082068778666667
2.667427 0.03946982069333334
2.673579 0.03816922442666667
2.679745 0.0369168072
2.685926 0.03571057429333334
2.692121 0.0345486232
2.69833 0.03342912906666667
2.704553 0.03235036410666667
2.710791 0.031310668480000005
2.717043 0.03030846
2.72331 0.029342234133333332
2.729591 0.028410539733333334
2.735886 0.027512003306666668
2.742196 0.026645304746666668
2.748521 0.02580918704
2.75486 0.02497492330666667
2.761214 0.024161761866666666
2.767582 0.02337713802666667
2.773965 0.02261995978666667
2.780363 0.02188919824
2.786776 0.021183858453333336
2.793203 0.020502984320000004
2.799645 0.019845663413333332
2.806103 0.019211012426666667
2.812574 0.01859819658666667
2.819061 0.018006400533333335
2.825563 0.017434847733333335
2.83208 0.016882790773333333
2.838612 0.016349516213333335
2.845159 0.01583433002666667
2.851721 0.015336581866666666
2.858298 0.014855626240000001
2.864891 0.014390861333333334
2.871498 0.013941690186666668
2.878121 0.013507559519999999
2.884759 0.013087925759999999
2.891412 0.012682264746666668
2.898081 0.012290076586666669
2.904765 0.011903362986666667
2.911465 0.01152672976
2.91818 0.011162826826666668
2.92491 0.010811197973333334
2.931656 0.010471396693333334
2.938418 0.010142995893333335
2.945195 0.009825587893333335
2.951988 0.009518774720000001
2.958796 0.009222187520000001
2.96562 0.008935447733333334
2.97246 0.008658215626666669
2.979316 0.00839015632
2.986187 0.008130934933333334
2.993075 0.007880245706666667
2.999978 0.007637787733333335
3.006897 0.007403269813333333
3.013832 0.007176420160000001
3.020783 0.006956966986666668
3.02775 0.006744648213333333
3.034733 0.006539226026666667
3.041733 0.006340452906666667
3.048748 0.0061481056
3.05578 0.005961960853333334
3.062828 0.005781800266666667
3.069892 0.005607424853333333
3.076972 0.005438635626666667
3.084069 0.005275233599999999
3.091182 0.005117048906666667
3.098311 0.00496389712
3.105457 0.004897644266666667
3.11262 0.004857876053333333
3.119798 0.004818673738666668
3.126994 0.004780020821333334
3.134206 0.004741909050666667
3.141435 0.004704328234666667
3.14868 0.004667269152
3.155942 0.004630722581333333
3.163221 0.004594678816000001
3.170517 0.004559129605333334
3.177829 0.004524065242666667
3.185158 0.004489477962666666
