Fe:-4.5000029927	MgSiO3:-4.7656889925	Mg2SiO4:-4.9653291693	Ni:-5.7800138917	CaAl2Si2O8:-5.8510299972	0.04415561886764352
Fe:-4.5000024864	MgSiO3:-4.7656815619	Mg2SiO4:-4.9653354906	Ni:-5.7800114184	CaAl2Si2O8:-5.8510299968	0.04447628500158916
Fe:-4.5000020632	MgSiO3:-4.7656759372	Mg2SiO4:-4.9653402614	Ni:-5.7800093739	CaAl2Si2O8:-5.8510299966	0.04479927988835951
Fe:-4.5000017099	MgSiO3:-4.7656716884	Mg2SiO4:-4.965343854	Ni:-5.7800076858	CaAl2Si2O8:-5.8510299964	0.04512462040409288
Fe:-4.5000014154	MgSiO3:-4.7656684859	Mg2SiO4:-4.9653465534	Ni:-5.7800062939	CaAl2Si2O8:-5.8510299962	0.04545232359905567
Fe:-4.5000011701	MgSiO3:-4.7656660773	Mg2SiO4:-4.9653485772	Ni:-5.7800051475	CaAl2Si2O8:-5.8510299961	0.04578240660099439
Fe:-4.5000009662	MgSiO3:-4.7656642696	Mg2SiO4:-4.9653500909	Ni:-5.7800042046	CaAl2Si2O8:-5.851029996	0.046114886765556036
Fe:-4.5000007968	MgSiO3:-4.7859219748	Mg2SiO4:-4.9513306528	Ni:-5.7800034303	CaAl2Si2O8:-5.873504614	0.04644978147721676
Fe:-4.5000006563	MgSiO3:-4.8167565262	Mg2SiO4:-4.9319674322	Ni:-5.7800027951	CaAl2Si2O8:-5.9079413157	0.046787108248086885
Fe:-4.5000005399	MgSiO3:-4.8454409773	Mg2SiO4:-4.9158211944	Ni:-5.7800022746	CaAl2Si2O8:-5.9402440963	0.047126884718645956
Fe:-4.5000004436	MgSiO3:-4.8719717843	Mg2SiO4:-4.9022780569	Ni:-5.7800018487	CaMgSi2O6:-5.9518859356	0.04746912871204319
Fe:-4.500000364	Mg2SiO4:-4.89086471	MgSiO3:-4.8963719601	Ni:-5.7800015006	CaMgSi2O6:-5.9267017307	0.04781385812971066
Fe:-4.5000002983	Mg2SiO4:-4.8812093444	MgSiO3:-4.9186895576	Ni:-5.7800012165	CaMgSi2O6:-5.9059961266	0.04816109105859562
Fe:-4.5000002442	Mg2SiO4:-4.8730157986	MgSiO3:-4.9389940261	Ni:-5.7800009849	CaMgSi2O6:-5.8888254926	0.048510845664056314
Fe:-4.5000001996	Mg2SiO4:-4.8660434186	MgSiO3:-4.9573777303	Ni:-5.7800007963	CaMgSi2O6:-5.8744861569	0.048863140243444826
Fe:-4.500000163	Mg2SiO4:-4.8600969745	MgSiO3:-4.9739449201	Ni:-5.780000643	CaMgSi2O6:-5.862444733	0.04921799328385272
Fe:-4.500000133	Mg2SiO4:-4.8550150913	MgSiO3:-4.988812902	Ni:-5.7800005186	CaMgSi2O6:-5.8522854932	0.049575423292990174
Fe:-4.5000001083	Mg2SiO4:-4.8506696235	MgSiO3:-5.0020884626	Ni:-5.7800004177	CaMgSi2O6:-5.8436911768	0.049935449026715206
Fe:-4.5000000881	Mg2SiO4:-4.8469358627	MgSiO3:-5.0139398387	Ni:-5.7800003359	CaMgSi2O6:-5.8363729567	0.05029808931916508
Fe:-4.5000000716	Mg2SiO4:-4.8437267396	MgSiO3:-5.0244758496	Ni:-5.7800002699	CaMgSi2O6:-5.8301307653	0.050663363199765686
Fe:-4.5000000581	Mg2SiO4:-4.8409630589	MgSiO3:-5.033823618	Ni:-5.7800002165	CaMgSi2O6:-5.8247896301	0.05103128971522626
